,answer,ans_score,senti_score,label,dummy
0,I will turn to policy,0.07449435442686081,-0.8325038552284241,NEGATIVE,0
1,rent as a component of inflation will accelerate,0.5200746655464172,0.9939327836036682,POSITIVE,1
2,"policyto promote maximum, inclusive employment and price stabilityare",0.018679693341255188,0.9953529834747314,POSITIVE,1
3,Keeping longer-term inflation expectations anchored,0.4996494948863983,0.9224894642829895,POSITIVE,1
4,monetary policy,0.5109872221946716,0.9795569181442261,POSITIVE,1
5,consequent policy choices,0.07916687428951263,0.9186176657676697,POSITIVE,1
6,is not costless,0.08148595690727234,0.9979696869850159,POSITIVE,1
7,"unprecedented in its scale, scope, and speed",0.07362280786037445,0.99937903881073,POSITIVE,1
8,cannot singlehandedly resolve Indian Country's credit needs,0.24022726714611053,-0.9994638562202454,NEGATIVE,0
9,rapid innovation,0.006877383682876825,0.999853253364563,POSITIVE,1
10,monetary policy does not need to respond to temporary price pressures,0.15635842084884644,0.6648718118667603,POSITIVE,1
11,"Today stablecoins lack that oversight, and its absence does create risks",0.026821700856089592,-0.9979546070098877,NEGATIVE,0
12,beyond the power of monetary policy to address,0.08970790356397629,-0.9190054535865784,NEGATIVE,0
13,rising home prices and rents raise the cost of housing,0.05150049552321434,0.9921523928642273,POSITIVE,1
14,Long-standing disparities weigh on the productive capacity of our economy,0.015131950378417969,-0.9463853240013123,NEGATIVE,0
15,the ELB is not a constraint on fiscal policy,0.14443063735961914,0.9952367544174194,POSITIVE,1
16,policymakers need to ensure that the regulatory and supervisory framework,0.09220409393310547,-0.8094775080680847,NEGATIVE,0
17,we could easily find that demand is damping,0.09912312030792236,-0.9968026876449585,NEGATIVE,0
18,there is no need for a policy change,0.32042986154556274,0.9947927594184875,POSITIVE,1
19,it is also necessary to encourage research on potential solutions,0.027033573016524315,0.9988582134246826,POSITIVE,1
20,"lient, vigilant, and agile",0.03575817868113518,0.9995682835578918,POSITIVE,1
21,price stability,0.4110710620880127,0.9980217218399048,POSITIVE,1
22,could strengthen reservation economies and the well-being of tribal members,0.009680671617388725,0.9948664903640747,POSITIVE,1
23,Federal Reserve monetary policy,0.23291391134262085,-0.5105898380279541,NEGATIVE,0
24,it is important to model the transition risks,0.004955980461090803,0.9880335927009583,POSITIVE,1
25,they use strong fallback provisions,0.10763604938983917,-0.8897114396095276,NEGATIVE,0
26,preserves what we know works,0.08768860250711441,0.9998034834861755,POSITIVE,1
27,we must remain faithful to our new framework and attentive to changing conditions,0.1430758833885193,0.9984896183013916,POSITIVE,1
28,That has always been crucial in how we conduct monetary policy,0.07787609100341797,0.9987044334411621,POSITIVE,1
29,technology enabled the expansion of the range of learning alternatives,0.06842125207185745,0.999666690826416,POSITIVE,1
30,"knowing that things do change, and sometimes they change quickly",0.019377289339900017,0.9795200824737549,POSITIVE,1
31,"Eliminating currency is a policy choice, however, not an economic outcome",0.2042858600616455,-0.9988657236099243,NEGATIVE,0
32,we remain in the recovery phase of the cycle in terms of aggregate employment,0.3591952919960022,0.9460881352424622,POSITIVE,1
33,we will continue to build on this recent positive momentum,0.13131840527057648,0.9996678829193115,POSITIVE,1
34,the economy's momentum is sufficient,0.028050493448972702,0.9992856383323669,POSITIVE,1
35,it is truly wonderful to see so many people in person.,0.05305948480963707,0.9998836517333984,POSITIVE,1
36,"last but not least, credible U.S. monetary policy",0.2620876431465149,0.992925763130188,POSITIVE,1
37,The Federal Reserve is committed to supporting the economic recovery,0.013913989067077637,0.9988694787025452,POSITIVE,1
38,Our policy has been to maintain a 0 percent CCyB,0.07939603179693222,-0.9830284118652344,NEGATIVE,0
39,continued vigilance is warranted,0.08651129901409149,0.9991185069084167,POSITIVE,1
40,we are poised to enter a robust and durable expansion.,0.21429459750652313,0.9997933506965637,POSITIVE,1
41,I look forward to engaging with you all in the future.,0.10046179592609406,0.9998705387115479,POSITIVE,1
42,Preserve financial stability and monetary policy transmission,0.10183405131101608,0.999037504196167,POSITIVE,1
43,temporary,0.2507377862930298,-0.992966890335083,NEGATIVE,0
44,will not be sufficient to trigger a tightening of monetary policy,0.32198816537857056,-0.9997766613960266,NEGATIVE,0
45,basing monetary policy on outcomes,0.03673740476369858,0.9586024284362793,POSITIVE,1
46,odative stance,0.3822632133960724,0.7488718032836914,POSITIVE,1
47,what you do is essential,0.2274312674999237,0.9998315572738647,POSITIVE,1
48,the work we have laid out for 2021 does just that.,0.12219259887933731,0.9986076951026917,POSITIVE,1
49,Monetary policy has not and will not be conducted for these purposes.,0.18501588702201843,-0.997051477432251,NEGATIVE,0
50,Federal Reserve monetary policy,0.07368708401918411,-0.5105898380279541,NEGATIVE,0
51,monetary policy can take a patient approach rather than a preemptive approach,0.21136637032032013,0.8173080682754517,POSITIVE,1
52,it will be critical to make progress,0.020202141255140305,-0.9988805651664734,NEGATIVE,0
53,monetary policy has successfully delivered favorable borrowing conditions,0.32773175835609436,0.999347984790802,POSITIVE,1
54,legislation is a necessary step to address these contracts,0.12712879478931427,0.9965044260025024,POSITIVE,1
55,increase financial inclusion,0.027826637029647827,0.9997164607048035,POSITIVE,1
56,monetary policy will remain accommodative,0.1320262849330902,0.9857123494148254,POSITIVE,1
57,it is valuable to deploy macroprudential tools,0.03129482641816139,0.9986010193824768,POSITIVE,1
58,expanded our internally-run analysis to meet the evolving conditions,0.038944825530052185,0.997622549533844,POSITIVE,1
59,"the Federal Reserve's monetary policy, and our new monetary policy framework",0.045996006578207016,0.9845046997070312,POSITIVE,1
60,.,0.002177797956392169,0.9668781757354736,POSITIVE,1
61,Let me start by noting that these are my own views,0.037178538739681244,0.8794260621070862,POSITIVE,1
62,accessible innovation and technology integration,0.03863326460123062,0.9998432397842407,POSITIVE,1
63,monetary policy will remain accommodative after liftoff,0.2188287377357483,0.9879311323165894,POSITIVE,1
64,financial inclusion,0.007880874909460545,0.9997215867042542,POSITIVE,1
65,"Federal Reserve monetary policy, and our new monetary policy framework",0.10063477605581284,0.9786797761917114,POSITIVE,1
66,New tools and forward-looking approaches will be required,0.011011163704097271,0.9468253254890442,POSITIVE,1
67,advances the core purpose of the statute,0.02890412136912346,0.9997064471244812,POSITIVE,1
68,I am supposed to be an inexhaustible supply of money,0.0932265967130661,-0.9978392720222473,NEGATIVE,0
69,our rules and guidance need to keep pace,0.02835078351199627,-0.9941629767417908,NEGATIVE,0
70,The combination of highly supportive fiscal policy,0.029307305812835693,0.9982547163963318,POSITIVE,1
71,moderate-income areas,0.07567146420478821,0.9908366203308105,POSITIVE,1
72,decision-making on monetary policy,0.31145375967025757,0.974726676940918,POSITIVE,1
73,the views expressed are my own,0.12564703822135925,0.9903197884559631,POSITIVE,1
74,we expanded,0.15817025303840637,0.9996874332427979,POSITIVE,1
75,monetary policy will remain accommodative after liftoff,0.13860587775707245,0.9879311323165894,POSITIVE,1
76,require greater effort,0.5519676208496094,0.5978325009346008,POSITIVE,1
77,Addressing vulnerabilities in the financial system going forward,0.06658782809972763,0.9514826536178589,POSITIVE,1
78,Federal Reserve monetary policy,0.3180391788482666,-0.5105898380279541,NEGATIVE,0
79,Community Reinvestment Act reform,0.015342366881668568,0.9761232733726501,POSITIVE,1
80,"I will simply raise that question, but not attempt to answer it here.",0.017115551978349686,-0.5062369704246521,NEGATIVE,0
81,it will provide additional support for the recovery,0.08610110729932785,0.9986799359321594,POSITIVE,1
82,"Federal Reserve monetary policy, and our new monetary policy framework",0.1326047033071518,0.9786797761917114,POSITIVE,1
83,The expansion is still far from complete,0.3299330472946167,-0.9995496869087219,NEGATIVE,0
84,Taking steps to simplify and lower this regulatory burden,0.011935552582144737,-0.9708506464958191,NEGATIVE,0
85,community banks play a vital role in the communities you serve,0.012306326068937778,0.9992548823356628,POSITIVE,1
86,Policymakers will need to remain vigilant.,0.36043769121170044,-0.9988095760345459,NEGATIVE,0
87,it is likely that accommodation would have been withdrawn later,0.13532891869544983,-0.9993971586227417,NEGATIVE,0
88,Timely and supportive fiscal and monetary policy measures also have helped,0.4181491732597351,0.9997960925102234,POSITIVE,1
89,I approach our monetary policy deliberations in a similar way,0.28277429938316345,0.8748056292533875,POSITIVE,1
90,We are expanding our use of cloud computing to enhance our operations,0.17102506756782532,0.9988425970077515,POSITIVE,1
91,we are announcing a phased approach,0.008276845328509808,-0.9708705544471741,NEGATIVE,0
92,Financing conditions remain broadly accommodative on balance,0.5617122650146484,0.9901841282844543,POSITIVE,1
93,Decades of bank expansion and cross-border integration,0.03181286156177521,0.992908239364624,POSITIVE,1
94,We were experiencing the longest expansion on record,0.20506003499031067,-0.9236670136451721,NEGATIVE,0
95,We will not hesitate to take additional policy actions,0.10513907670974731,0.9988184571266174,POSITIVE,1
96,fostering effective transmission of monetary policy to broader financial conditions,0.27079761028289795,0.9997128844261169,POSITIVE,1
97,We have heard that maximum employment is not captured in a single national average,0.013028562068939209,-0.9967830181121826,NEGATIVE,0
98,it takes on even greater importance,0.13324841856956482,0.9980765581130981,POSITIVE,1
99,unprecedented,0.10817096382379532,0.9981545805931091,POSITIVE,1
100,lower inflation levels,0.23201791942119598,-0.9914340972900391,NEGATIVE,0
101,The devastation is demanding,3.909832958015613e-05,-0.9984594583511353,NEGATIVE,0
102,We are deploying these lending powers to an unprecedented extent,0.00959385372698307,0.9968323111534119,POSITIVE,1
103,it is essential we continue to meaningfully engage with stakeholders on these issues,0.05304981395602226,0.9996745586395264,POSITIVE,1
104,monetary policy is not on a preset course,0.3785324692726135,-0.9933993816375732,NEGATIVE,0
105,judgment is required,0.3474424481391907,0.9680613875389099,POSITIVE,1
106,there are risks,0.19999687373638153,-0.9828612804412842,NEGATIVE,0
107,transmitting monetary policy,0.13243043422698975,0.9661462306976318,POSITIVE,1
108,This policy setting should help support the economic expansion,0.25895199179649353,0.9758544564247131,POSITIVE,1
109,Methods of Policy Accommodation,0.10267992317676544,-0.6164342164993286,NEGATIVE,0
110,it is essential that we remain on the frontier of research and policy development,0.07463879883289337,0.998594343662262,POSITIVE,1
111,it is a practice we should avoid,0.0658191666007042,-0.9988873600959778,NEGATIVE,0
112,percent objective,0.06684279441833496,0.997580885887146,POSITIVE,1
113,not on a preset course,0.26594284176826477,-0.9946709275245667,NEGATIVE,0
114,adjust policy accordingly,0.19092173874378204,0.9893314838409424,POSITIVE,1
115,Are existing monetary policy tools adequate to achieve and maintain maximum employment and price stability,0.06252527236938477,0.9901874661445618,POSITIVE,1
116,the FSB's policy work needs to advance in a few important areas,0.09405037760734558,-0.9604601263999939,NEGATIVE,0
117,Congress has assigned the Federal Reserve specific responsibilities,0.31595805287361145,0.9575139284133911,POSITIVE,1
118,"It is, instead, sufficient for the proper operation of the price mechanism",0.2394452691078186,-0.9908213019371033,NEGATIVE,0
119,monetary policy is in a good place,0.38368090987205505,0.9998544454574585,POSITIVE,1
120,That is not to say that we have all of the solutions,0.004200030118227005,-0.8580947518348694,NEGATIVE,0
121,monetary policy is not on a preset course,0.3551613688468933,-0.9933993816375732,NEGATIVE,0
122,Your perspectives on questions like these are a vital part of this monetary policy review,0.09806188195943832,0.9978063702583313,POSITIVE,1
123,monetary policy transmission and guarding against illicit activity and cyber risks,0.1257542073726654,-0.9000974893569946,NEGATIVE,0
124,We are also looking at whether our existing monetary policy tools will be adequate,0.030667761340737343,-0.9945809245109558,NEGATIVE,0
125,separated government debt management from monetary policy,0.09498634189367294,0.9823227524757385,POSITIVE,1
126,We are also looking at whether our existing monetary policy tools will be adequate,0.04212671145796776,-0.9945809245109558,NEGATIVE,0
127,"it had to be credible, and it had to be global.",0.03936290740966797,-0.9983848333358765,NEGATIVE,0
128,just in its infancy,0.12073936313390732,-0.95062255859375,NEGATIVE,0
129,There was no change to the European Central Bank's monetary policy mandate,0.5797519683837891,-0.9872093200683594,NEGATIVE,0
130,it is also self-sustaining,0.06666554510593414,0.9970846772193909,POSITIVE,1
131,Are existing monetary policy tools adequate to achieve and maintain maximum employment and price stability,0.29606640338897705,0.9901874661445618,POSITIVE,1
132,Let me expand on those two goals,0.4471396803855896,0.9982728958129883,POSITIVE,1
133,This kind of comprehensive outreach on monetary policy is new for the Fed,0.05918193235993385,0.9961333274841309,POSITIVE,1
134,our work will be useful,0.011337769217789173,0.9995418787002563,POSITIVE,1
135,We are not making this decision lightly,0.07924999296665192,0.9979992508888245,POSITIVE,1
136,I will consider how these structural changes are affecting the framework,0.03958272188901901,0.9409860968589783,POSITIVE,1
137,uncertainty,0.2225475162267685,-0.9932219982147217,NEGATIVE,0
138,it is vital that an adjustment such as this takes place as appropriate,0.0700375959277153,0.9985949397087097,POSITIVE,1
139,We simply can't let these things happen,0.06692396104335785,-0.9909646511077881,NEGATIVE,0
140,Inflation Dynamics and Monetary Policy,0.14989452064037323,-0.9288848042488098,NEGATIVE,0
141,monetary policy,0.03805777058005333,0.9795569181442261,POSITIVE,1
142,It is your presence in these communities,0.013480459339916706,0.9991807341575623,POSITIVE,1
143,expansion is continuing at a solid pace and unemployment at a 50-year low,0.04935019463300705,0.9888610243797302,POSITIVE,1
144,the Fed's monetary policy affects the regional economy,0.011718221940100193,0.9279565811157227,POSITIVE,1
145,we will act as appropriate to sustain the expansion,0.17516791820526123,0.9991335272789001,POSITIVE,1
146,I am sure that the rest of the roundtable will do so as well,0.04632134735584259,0.9991416931152344,POSITIVE,1
147,the current long expansion has brought business borrowing,0.05777916684746742,0.9936575293540955,POSITIVE,1
148,monetary policy should beand in the United States,0.16904407739639282,-0.9966222047805786,NEGATIVE,0
149,Inflation Dynamics and Monetary Policy,0.5529617071151733,-0.9288848042488098,NEGATIVE,0
150,"our review is more likely to produce evolution, not a revolution",0.1129988506436348,-0.9948882460594177,NEGATIVE,0
151,the memory of the previous recession fades,0.26236170530319214,-0.9996570348739624,NEGATIVE,0
152,Inflation Dynamics and Monetary Policy,0.21204498410224915,-0.9288848042488098,NEGATIVE,0
153,Sound public policies,0.02590091899037361,0.9997228980064392,POSITIVE,1
154,Main Street,0.2725031077861786,0.9942546486854553,POSITIVE,1
155,Conclusion,0.01703682355582714,0.9975615739822388,POSITIVE,1
156,the current stance of monetary policy is appropriate,0.05778174847364426,0.9983313679695129,POSITIVE,1
157,transition paths away from LIBOR will become clearer for banks of all sizes,0.0124973701313138,0.9054309129714966,POSITIVE,1
158,Discretionary Monetary Policy,0.27620935440063477,0.8426026105880737,POSITIVE,1
159,This is not an abstract notion,0.14764326810836792,-0.9994695782661438,NEGATIVE,0
160,The intent was to expand our outreach beyond the membership of the G20,0.0805189311504364,0.9964967370033264,POSITIVE,1
161,I would not expect such situations to be the norm,0.09120960533618927,0.5784394145011902,POSITIVE,1
162,The Federal Reserve's monetary policy mandate is twofold,0.11459149420261383,0.8810989856719971,POSITIVE,1
163,global crosscurrents are again posing challenges,0.0251485463231802,0.9403323531150818,POSITIVE,1
164,decentralization,0.08552642911672592,0.9890410304069519,POSITIVE,1
165,2019 National Agricultural Credit Conference,0.011547215282917023,0.9942381381988525,POSITIVE,1
166,because the sole purpose of CDFIs is community development,0.019880548119544983,-0.9913150668144226,NEGATIVE,0
167,any revisions serve to strengthen the CRA's purpose,0.004305577836930752,0.9909920692443848,POSITIVE,1
168,inflation,0.014638899825513363,-0.9965974688529968,NEGATIVE,0
169,monetary policy at this juncture needs to be especially data dependent,0.354493647813797,-0.9974844455718994,NEGATIVE,0
170,You can craft policy to change our world.,0.12553656101226807,0.9995095729827881,POSITIVE,1
